id,headshot,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCountry,scrapedOn,source,firstName.default,lastName.default,birthCity.default,birthStateProvince.default,birthCity.fi,birthCity.sv,birthCity.cs,birthCity.sk,firstName.cs,firstName.de,firstName.es,firstName.fi,firstName.sk,firstName.sv,birthCity.fr
8482775,https://assets.nhle.com/mugs/nhl/20252026/MTL/8482775.png,91,C,R,74,194,188,88,2003-07-29,SWE,2026-01-02T20:32:01.329935,NHL Roster API,Oliver,Kapanen,Timra,,Timrå,Timrå,,,,,,,,,
8479339,https://assets.nhle.com/mugs/nhl/20252026/MTL/8479339.png,92,R,R,76,208,193,94,1998-04-19,FIN,2026-01-02T20:32:01.329935,NHL Roster API,Patrik,Laine,Tampere,,,Tammerfors,,,,,,,,,
8481618,https://assets.nhle.com/mugs/nhl/20252026/MTL/8481618.png,15,C,L,71,200,180,91,2001-01-28,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Alex,Newhook,St. John's,NL,,,,,,,,,,,
8483515,https://assets.nhle.com/mugs/nhl/20252026/MTL/8483515.png,20,L,L,75,225,191,102,2004-03-30,SVK,2026-01-02T20:32:01.329935,NHL Roster API,Juraj,Slafkovský,Kosice,,Košice,,Košice,Košice,,,,,,,
8480018,https://assets.nhle.com/mugs/nhl/20252026/MTL/8480018.png,14,C,R,71,207,180,94,1999-08-10,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Nick,Suzuki,London,ON,,,,Londýn,,,,,,,
8480074,https://assets.nhle.com/mugs/nhl/20252026/MTL/8480074.png,85,L,L,73,196,185,89,1999-09-13,FRA,2026-01-02T20:32:01.329935,NHL Roster API,Alexandre,Texier,Saint-Martin-d'Hères,,,,,,,,,,,,
8480813,https://assets.nhle.com/mugs/nhl/20252026/MTL/8480813.png,90,C,L,73,201,185,91,2000-01-13,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Joe,Veleno,Montréal,QC,,,,,Joseph,Joseph,Joseph,Joseph,Joseph,Joseph,
8478851,https://assets.nhle.com/mugs/nhl/20252026/MTL/8478851.png,45,D,R,71,174,180,79,1996-10-08,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Alexandre,Carrier,Quebec City,QC,,,,,,,,,,,Québec
8480865,https://assets.nhle.com/mugs/nhl/20252026/MTL/8480865.png,53,D,R,76,200,193,91,2000-01-07,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Noah,Dobson,Summerside,PE,,,,,,,,,,,
8483686,https://assets.nhle.com/mugs/nhl/20252026/MTL/8483686.png,42,D,L,74,193,188,88,2003-11-17,SWE,2026-01-02T20:32:01.329935,NHL Roster API,Adam,Engstrom,Jarna,,,,,,,,,,,,
8482087,https://assets.nhle.com/mugs/nhl/20252026/MTL/8482087.png,21,D,L,75,202,191,92,2002-01-18,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Kaiden,Guhle,Edmonton,AB,,,,,,,,,,,
8483457,https://assets.nhle.com/mugs/nhl/20252026/MTL/8483457.png,48,D,L,69,162,175,73,2004-02-14,USA,2026-01-02T20:32:01.329935,NHL Roster API,Lane,Hutson,Holland,MI,,,,,,,,,,,
8476875,https://assets.nhle.com/mugs/nhl/20252026/MTL/8476875.png,8,D,L,74,196,188,89,1994-02-27,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Mike,Matheson,Pointe-Claire,QC,,,,,,,,,,,
8481593,https://assets.nhle.com/mugs/nhl/20252026/MTL/8481593.png,47,D,L,72,207,183,94,2001-09-08,USA,2026-01-02T20:32:01.329935,NHL Roster API,Jayden,Struble,Cumberland,RI,,,,,,,,,,,
8482964,https://assets.nhle.com/mugs/nhl/20252026/MTL/8482964.png,72,D,L,76,240,193,109,2001-01-30,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Arber,Xhekaj,Hamilton,ON,,,,,,,,,,,
8482487,https://assets.nhle.com/mugs/nhl/20252026/MTL/8482487.png,75,G,L,76,215,193,98,2001-05-27,CZE,2026-01-02T20:32:01.329935,NHL Roster API,Jakub,Dobes,Ostrava,,,,,,,,,,,,
8484170,https://assets.nhle.com/mugs/nhl/20252026/MTL/8484170.png,32,G,L,73,223,185,101,2004-11-24,USA,2026-01-02T20:32:01.329935,NHL Roster API,Jacob,Fowler,Melbourne,FL,,,,,,,,,,,
8478470,https://assets.nhle.com/mugs/nhl/20252026/MTL/8478470.png,35,G,L,75,218,191,99,1996-10-30,CAN,2026-01-02T20:32:01.329935,NHL Roster API,Samuel,Montembeault,Becancour,QC,,,,,,,,,,,
